token_id,token_str,count,base_mean,delta_mean
1944, present,24,-4.97199347615242,-3.1364603638648987
2526, risk,39,-3.150813176147401,-3.1356621469574
2597, role,49,-3.7090930573034044,-3.12988262059053
2106, history,51,-3.614711872795049,-3.1224978377633987
1321, information,51,-3.040314956038606,-3.118349992177065
3349, growth,28,-3.1822082764868225,-3.113299217873386
1049, great,45,-4.1339643438657125,-3.112843204869164
2884, via,30,-6.200786478444934,-3.110820862526694
1630, control,44,-3.328683763562532,-3.110662510629151
2258, North,33,-3.9695647634340054,-3.1004905181400706
1334, rest,28,-4.712764214647385,-3.097342882382301
1486, design,41,-4.738540794791245,-3.0833217545253477
2393, file,21,-2.189948224967035,-3.080121883839768
3782, Times,21,-1.6585688347141037,-3.0708051953364963
2669, Washington,50,-3.1452196956123224,-3.0695978385605853
2726, serious,26,-3.3379404136481194,-3.069302544714166
474, j,47,-2.419988830118103,-3.068972201978273
2648, share,47,-3.5320242652842935,-3.068294440371361
4172, families,23,-4.229617228974467,-3.0636004714862155
3573, particularly,29,-5.66764260982645,-3.0575600163689973
1641, family,58,-3.5321053148985935,-3.05091716342702
1402, small,63,-5.115346581719461,-3.0489892867053783
3381, term,25,-2.4428240422904492,-3.0401783359050754
2045, looking,40,-4.629325146600604,-3.0380437601357695
2104, entire,24,-4.264060181876023,-3.024274056156477
1073,co,23,-1.5343134383374886,-3.0202660311365235
3517, British,28,-5.6961113555090765,-3.010616898536682
2605, Clinton,78,-2.009218366736045,-3.0063214738292094
2029, above,28,-4.140234848284828,-3.0036685774768035
4969, Korea,22,-0.7050900235031308,-2.9892964411251755
3818, officer,31,-1.311069052906767,-2.985453997948958
2005, cut,31,-5.747543396488313,-2.982135011303809
2159, World,61,-2.4643495468333074,-2.9793448424239677
4384, debate,24,-4.293461663027604,-2.969855261345705
2495, pretty,22,-5.231535976583308,-2.9690513610839844
1243, things,80,-3.507031843473669,-2.9653998257243073
1592, win,25,-3.5872902482748033,-2.962789093852043
2223, action,40,-3.9304081628331913,-2.960738680302166
